brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
hyundai,new,manual,5.0,petrol,1086.0,49352.0,1.0,413000.0,,,,,
ford,ecosport,manual,6.0,petrol,1497.0,99535.0,1.0,581000.0,,,,,
renault,kwid,manual,2.0,petrol,,26312.0,1.0,446000.0,,,,,
maruti,dzire,manual,2.0,cng,1197.0,47217.0,2.0,795000.0,,,,,
maruti,ciaz,automatic,6.0,petrol,1373.0,46850.0,2.0,575000.0,,,,,
hyundai,i20,manual,8.0,petrol,1197.0,54148.0,1.0,493000.0,,,,,
honda,city,automatic,9.0,petrol,1497.0,39168.0,2.0,522000.0,,,,,
renault,kwid,manual,5.0,petrol,,66778.0,1.0,340000.0,,,,,
kia,sonet,manual,2.0,diesel,1493.0,23502.0,1.0,955000.0,,,,,
hyundai,creta,automatic,7.0,petrol,1591.0,67495.0,1.0,832000.0,,,,,
maruti,celerio,automatic,8.0,petrol,998.0,19759.0,1.0,403000.0,,,,,
honda,city,manual,9.0,petrol,1497.0,91368.0,1.0,497000.0,,,,,
maruti,swift,manual,11.0,petrol,1197.0,36536.0,1.0,319000.0,,,,,
nissan,magnite,manual,3.0,petrol,999.0,42886.0,1.0,672000.0,,,,,
kia,sonet,manual,3.0,diesel,1493.0,28209.0,1.0,979000.0,,,,,
maruti,new,manual,5.0,petrol,1197.0,19085.0,1.0,459000.0,,,,,
hyundai,verna,manual,9.0,petrol,1591.0,102445.0,2.0,472000.0,,,,,
maruti,swift,manual,12.0,petrol,1197.0,51629.0,1.0,266000.0,,,,,
maruti,wagon,manual,11.0,petrol,998.0,70322.0,2.0,229000.0,,,,,
hyundai,creta,manual,6.0,petrol,1591.0,48108.0,1.0,803000.0,,,,,
maruti,dzire,manual,4.0,petrol,,108051.0,2.0,552000.0,,,,,
hyundai,grand,manual,4.0,petrol,1197.0,56215.0,1.0,551000.0,,,,,
ford,ecosport,manual,6.0,petrol,1497.0,70008.0,1.0,652000.0,,,,,
hyundai,i20,manual,10.0,petrol,1197.0,85321.0,1.0,353000.0,,,,,
maruti,swift,manual,12.0,petrol,1197.0,43425.0,2.0,251000.0,,,,,
maruti,wagon,automatic,7.0,petrol,998.0,40144.0,1.0,393000.0,,,,,
maruti,wagon,manual,7.0,petrol,998.0,54614.0,1.0,346000.0,,,,,
hyundai,xcent,manual,6.0,cng,1197.0,60152.0,1.0,476000.0,,,,,
renault,duster,manual,5.0,diesel,1461.0,40838.0,1.0,713000.0,,,,,
maruti,swift,manual,7.0,petrol,1197.0,47968.0,1.0,408000.0,,,,,
hyundai,grand,manual,6.0,petrol,1197.0,75742.0,1.0,403000.0,,,,,
hyundai,verna,manual,11.0,petrol,1591.0,108787.0,1.0,374000.0,,,,,
maruti,baleno,manual,5.0,petrol,1197.0,65533.0,1.0,503000.0,,,,,
hyundai,venue,manual,4.0,petrol,998.0,43417.0,2.0,828000.0,,,,,
maruti,baleno,manual,5.0,petrol,1197.0,35337.0,1.0,540000.0,,,,,
